neighbourhood,Essentials,Wireless Internet,Washer / Dryer,Hangers,First Aid Kit,Wheelchair Accessible,Smoke Detector,Buzzer/Wireless Intercom,TV,Smoking Allowed,Gym,Air Conditioning,Hot Tub,Pool,Kitchen,Family/Kid Friendly,24-Hour Check-in,Indoor Fireplace,Shampoo,Heating,Hair Dryer,Carbon Monoxide Detector,Safety Card,Iron,Pets Allowed,Fire Extinguisher,Doorman,Lock on Bedroom Door,Laptop Friendly Workspace,Other pet(s),Dog(s),Elevator in Building,Breakfast,Free Parking on Premises,Cat(s),Pets live on this property,price,availability_30,review_scores_rating
Diamond Heights,0.75,0.875,0.0,0.4375,0.5,0.0,0.625,0.4375,0.875,0.0,0.125,0.0625,0.1875,0.125,0.9375,0.5,0.25,0.4375,0.6875,0.9375,0.5,0.4375,0.25,0.5,0.0625,0.5,0.0,0.0625,0.3125,0.0,0.125,0.125,0.0,0.5625,0.1875,0.25,186.1875,7.625,94.9166666667
Dogpatch,0.85,0.95,0.0,0.5,0.35,0.2,0.825,0.375,0.725,0.0,0.225,0.225,0.125,0.0,0.925,0.45,0.275,0.3,0.775,0.85,0.525,0.55,0.2,0.475,0.1,0.45,0.0,0.075,0.575,0.0,0.2,0.55,0.1,0.15,0.025,0.225,372.525,4.3,96.6428571429
Downtown,0.801204819277,0.909638554217,0.0,0.572289156627,0.174698795181,0.271084337349,0.819277108434,0.198795180723,0.78313253012,0.00602409638554,0.385542168675,0.421686746988,0.259036144578,0.0240963855422,0.668674698795,0.493975903614,0.457831325301,0.0481927710843,0.71686746988,0.861445783133,0.656626506024,0.560240963855,0.120481927711,0.560240963855,0.0421686746988,0.373493975904,0.102409638554,0.150602409639,0.590361445783,0.0,0.0361445783133,0.789156626506,0.0240963855422,0.0361445783133,0.0120481927711,0.0481927710843,258.43373494,5.89759036145,91.6132075472
Duboce Triangle,0.861111111111,0.972222222222,0.0,0.451388888889,0.354166666667,0.0208333333333,0.805555555556,0.291666666667,0.798611111111,0.0486111111111,0.0347222222222,0.0555555555556,0.0,0.0,0.930555555556,0.465277777778,0.361111111111,0.166666666667,0.708333333333,0.930555555556,0.458333333333,0.625,0.138888888889,0.451388888889,0.145833333333,0.604166666667,0.0,0.111111111111,0.472222222222,0.0,0.138888888889,0.0555555555556,0.0694444444444,0.118055555556,0.0625,0.201388888889,214.909722222,5.09722222222,95.7168141593
Excelsior,0.677419354839,0.978494623656,0.0,0.516129032258,0.591397849462,0.0215053763441,0.849462365591,0.0752688172043,0.591397849462,0.0430107526882,0.0215053763441,0.0752688172043,0.0215053763441,0.0,0.827956989247,0.548387096774,0.279569892473,0.0860215053763,0.569892473118,0.913978494624,0.322580645161,0.720430107527,0.204301075269,0.387096774194,0.172043010753,0.537634408602,0.0,0.118279569892,0.41935483871,0.0215053763441,0.139784946237,0.010752688172,0.0430107526882,0.344086021505,0.0645161290323,0.204301075269,158.569892473,4.58064516129,92.4736842105
Fillmore District,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,7.0,81.0
Financial District,0.581818181818,0.945454545455,0.0,0.363636363636,0.381818181818,0.2,0.6,0.163636363636,0.672727272727,0.0181818181818,0.327272727273,0.309090909091,0.0545454545455,0.0909090909091,0.836363636364,0.4,0.272727272727,0.0909090909091,0.490909090909,0.927272727273,0.363636363636,0.509090909091,0.327272727273,0.363636363636,0.0727272727273,0.4,0.345454545455,0.0727272727273,0.381818181818,0.0,0.0,0.490909090909,0.109090909091,0.163636363636,0.0,0.0,346.654545455,14.2181818182,91.3157894737
Fisherman's Wharf,0.878048780488,0.90243902439,0.0,0.634146341463,0.317073170732,0.219512195122,0.682926829268,0.292682926829,0.878048780488,0.0243902439024,0.0487804878049,0.317073170732,0.0487804878049,0.0487804878049,0.975609756098,0.682926829268,0.536585365854,0.121951219512,0.658536585366,0.878048780488,0.560975609756,0.487804878049,0.219512195122,0.536585365854,0.0487804878049,0.317073170732,0.146341463415,0.0243902439024,0.512195121951,0.0,0.0243902439024,0.560975609756,0.0975609756098,0.0975609756098,0.0,0.0243902439024,436.097560976,3.07317073171,96.72
Forest Hill,0.818181818182,1.0,0.0,0.454545454545,0.545454545455,0.0,0.818181818182,0.272727272727,0.818181818182,0.0,0.0,0.0,0.0,0.0,0.909090909091,0.727272727273,0.363636363636,0.636363636364,0.818181818182,0.909090909091,0.545454545455,0.727272727273,0.0909090909091,0.363636363636,0.272727272727,0.272727272727,0.0,0.0909090909091,0.272727272727,0.0,0.181818181818,0.0,0.181818181818,0.363636363636,0.0,0.181818181818,169.454545455,5.81818181818,94.3
Glen Park,0.842105263158,0.986842105263,0.0,0.513157894737,0.473684210526,0.0,0.868421052632,0.105263157895,0.855263157895,0.0,0.0131578947368,0.0921052631579,0.0394736842105,0.0,0.842105263158,0.592105263158,0.421052631579,0.223684210526,0.710526315789,0.947368421053,0.5,0.723684210526,0.276315789474,0.473684210526,0.131578947368,0.644736842105,0.0,0.0657894736842,0.5,0.0,0.171052631579,0.0,0.0789473684211,0.381578947368,0.144736842105,0.342105263158,228.736842105,4.82894736842,96.0144927536
Haight-Ashbury,0.840236686391,0.988165680473,0.0,0.491124260355,0.372781065089,0.0177514792899,0.792899408284,0.242603550296,0.692307692308,0.0177514792899,0.00591715976331,0.100591715976,0.0473372781065,0.00591715976331,0.87573964497,0.520710059172,0.337278106509,0.195266272189,0.710059171598,0.905325443787,0.485207100592,0.573964497041,0.159763313609,0.426035502959,0.100591715976,0.526627218935,0.0,0.0650887573964,0.473372781065,0.0,0.112426035503,0.0177514792899,0.0769230769231,0.136094674556,0.0650887573964,0.177514792899,290.585798817,6.54437869822,93.0839694656
Hayes Valley,0.846153846154,0.969230769231,0.00769230769231,0.507692307692,0.353846153846,0.0615384615385,0.8,0.369230769231,0.684615384615,0.0538461538462,0.1,0.107692307692,0.0,0.0,0.953846153846,0.461538461538,0.330769230769,0.107692307692,0.661538461538,0.915384615385,0.453846153846,0.615384615385,0.107692307692,0.453846153846,0.1,0.4,0.0538461538462,0.1,0.5,0.0,0.138461538462,0.223076923077,0.0769230769231,0.0923076923077,0.0384615384615,0.169230769231,279.423076923,4.6,95.0117647059
Ingleside,0.805555555556,1.0,0.0,0.638888888889,0.555555555556,0.0833333333333,0.75,0.111111111111,0.722222222222,0.0,0.0277777777778,0.0,0.0277777777778,0.0,0.888888888889,0.722222222222,0.388888888889,0.222222222222,0.833333333333,0.916666666667,0.638888888889,0.611111111111,0.166666666667,0.555555555556,0.138888888889,0.638888888889,0.0,0.138888888889,0.527777777778,0.0555555555556,0.194444444444,0.0,0.0833333333333,0.444444444444,0.138888888889,0.333333333333,167.027777778,7.52777777778,94.5
Inner Sunset,0.853658536585,0.934959349593,0.0,0.528455284553,0.544715447154,0.0569105691057,0.869918699187,0.138211382114,0.69918699187,0.0162601626016,0.00813008130081,0.0731707317073,0.0487804878049,0.00813008130081,0.837398373984,0.552845528455,0.373983739837,0.227642276423,0.723577235772,0.918699186992,0.49593495935,0.642276422764,0.268292682927,0.447154471545,0.154471544715,0.658536585366,0.0,0.121951219512,0.520325203252,0.00813008130081,0.19512195122,0.0487804878049,0.0650406504065,0.382113821138,0.121951219512,0.268292682927,258.25203252,5.76422764228,94.7888888889
Japantown,0.818181818182,1.0,0.0,0.636363636364,0.454545454545,0.0909090909091,0.727272727273,0.272727272727,0.636363636364,0.0,0.0,0.181818181818,0.181818181818,0.0,0.909090909091,0.181818181818,0.454545454545,0.0909090909091,0.636363636364,1.0,0.454545454545,0.363636363636,0.363636363636,0.272727272727,0.0,0.363636363636,0.181818181818,0.0909090909091,0.545454545455,0.0,0.0,0.454545454545,0.0909090909091,0.0,0.0,0.0,188.181818182,5.09090909091,94.0
Lakeshore,0.770833333333,0.895833333333,0.0,0.583333333333,0.291666666667,0.0833333333333,0.8125,0.145833333333,0.604166666667,0.104166666667,0.375,0.145833333333,0.333333333333,0.125,0.875,0.604166666667,0.354166666667,0.0833333333333,0.645833333333,0.9375,0.375,0.479166666667,0.208333333333,0.3125,0.104166666667,0.291666666667,0.0,0.333333333333,0.541666666667,0.0,0.0833333333333,0.354166666667,0.104166666667,0.5625,0.0208333333333,0.145833333333,114.395833333,9.85416666667,89.2580645161
Lower Haight,0.769230769231,0.967948717949,0.0,0.589743589744,0.461538461538,0.0192307692308,0.858974358974,0.301282051282,0.705128205128,0.0641025641026,0.00641025641026,0.0512820512821,0.025641025641,0.00641025641026,0.948717948718,0.423076923077,0.288461538462,0.224358974359,0.653846153846,0.884615384615,0.557692307692,0.660256410256,0.173076923077,0.487179487179,0.0833333333333,0.583333333333,0.0,0.0641025641026,0.551282051282,0.0192307692308,0.128205128205,0.00641025641026,0.0576923076923,0.173076923077,0.134615384615,0.275641025641,227.012820513,6.30128205128,95.8
Marina,0.756578947368,0.960526315789,0.0,0.460526315789,0.309210526316,0.0394736842105,0.769736842105,0.460526315789,0.901315789474,0.0263157894737,0.0197368421053,0.105263157895,0.0,0.0,0.921052631579,0.526315789474,0.296052631579,0.203947368421,0.710526315789,0.901315789474,0.460526315789,0.519736842105,0.151315789474,0.414473684211,0.105263157895,0.421052631579,0.0,0.0263157894737,0.440789473684,0.0,0.118421052632,0.0723684210526,0.0657894736842,0.25,0.00657894736842,0.131578947368,318.421052632,7.21052631579,95.6386554622
Mission Bay,0.863636363636,0.954545454545,0.0,0.772727272727,0.318181818182,0.272727272727,0.909090909091,0.454545454545,0.681818181818,0.0,0.863636363636,0.454545454545,0.545454545455,0.545454545455,1.0,0.636363636364,0.318181818182,0.0454545454545,0.863636363636,0.954545454545,0.681818181818,0.681818181818,0.227272727273,0.681818181818,0.363636363636,0.272727272727,0.318181818182,0.272727272727,0.863636363636,0.0,0.0454545454545,1.0,0.0,0.409090909091,0.0,0.0909090909091,166.590909091,9.0,94.2666666667
Mission District,0.838932806324,0.973320158103,0.0,0.441699604743,0.411067193676,0.0276679841897,0.784584980237,0.282608695652,0.695652173913,0.0335968379447,0.0197628458498,0.112648221344,0.0365612648221,0.00296442687747,0.912055335968,0.378458498024,0.305335968379,0.192687747036,0.666007905138,0.882411067194,0.433794466403,0.575098814229,0.187747035573,0.416007905138,0.098814229249,0.5395256917,0.0197628458498,0.101778656126,0.435770750988,0.00494071146245,0.122529644269,0.0642292490119,0.0691699604743,0.115612648221,0.0800395256917,0.192687747036,224.109683794,6.26086956522,94.3223767383
Mission Terrace,0.888888888889,0.950617283951,0.0,0.37037037037,0.283950617284,0.358024691358,0.901234567901,0.0864197530864,0.543209876543,0.0123456790123,0.0,0.0246913580247,0.037037037037,0.0,0.851851851852,0.259259259259,0.246913580247,0.111111111111,0.506172839506,0.901234567901,0.395061728395,0.79012345679,0.197530864198,0.666666666667,0.111111111111,0.469135802469,0.0,0.123456790123,0.333333333333,0.0,0.0617283950617,0.333333333333,0.037037037037,0.283950617284,0.0740740740741,0.123456790123,113.358024691,9.97530864198,95.358490566
Nob Hill,0.837837837838,0.966216216216,0.0,0.452702702703,0.307432432432,0.0337837837838,0.763513513514,0.314189189189,0.689189189189,0.0304054054054,0.0540540540541,0.168918918919,0.0168918918919,0.0236486486486,0.932432432432,0.368243243243,0.368243243243,0.0912162162162,0.648648648649,0.868243243243,0.459459459459,0.466216216216,0.138513513514,0.391891891892,0.0709459459459,0.442567567568,0.0574324324324,0.148648648649,0.469594594595,0.0,0.0574324324324,0.280405405405,0.0608108108108,0.0472972972973,0.0472972972973,0.097972972973,279.148648649,5.26351351351,92.0476190476
Noe Valley,0.855113636364,0.974431818182,0.0,0.548295454545,0.497159090909,0.0198863636364,0.835227272727,0.119318181818,0.803977272727,0.0113636363636,0.0142045454545,0.0653409090909,0.0568181818182,0.00568181818182,0.886363636364,0.599431818182,0.369318181818,0.224431818182,0.735795454545,0.926136363636,0.534090909091,0.681818181818,0.232954545455,0.505681818182,0.110795454545,0.607954545455,0.0,0.0823863636364,0.494318181818,0.00852272727273,0.150568181818,0.0142045454545,0.0539772727273,0.221590909091,0.0738636363636,0.213068181818,270.744318182,6.67045454545,95.6985294118
North Beach,0.857142857143,0.971428571429,0.0,0.442857142857,0.485714285714,0.0285714285714,0.828571428571,0.385714285714,0.757142857143,0.0285714285714,0.0285714285714,0.0857142857143,0.0285714285714,0.0285714285714,0.914285714286,0.471428571429,0.285714285714,0.142857142857,0.685714285714,0.842857142857,0.5,0.642857142857,0.257142857143,0.414285714286,0.0857142857143,0.614285714286,0.0,0.128571428571,0.442857142857,0.0142857142857,0.0714285714286,0.128571428571,0.0571428571429,0.0857142857143,0.0714285714286,0.114285714286,299.428571429,5.77142857143,93.6785714286
Oceanview,0.854838709677,0.967741935484,0.0,0.5,0.241935483871,0.112903225806,0.725806451613,0.0806451612903,0.516129032258,0.0483870967742,0.0161290322581,0.0806451612903,0.0483870967742,0.0161290322581,0.806451612903,0.451612903226,0.41935483871,0.112903225806,0.790322580645,0.887096774194,0.612903225806,0.564516129032,0.161290322581,0.564516129032,0.145161290323,0.322580645161,0.0161290322581,0.258064516129,0.564516129032,0.0322580645161,0.193548387097,0.0967741935484,0.177419354839,0.516129032258,0.0161290322581,0.258064516129,110.709677419,10.4193548387,91.9361702128
Outer Sunset,0.834782608696,0.978260869565,0.0,0.569565217391,0.55652173913,0.0173913043478,0.839130434783,0.095652173913,0.804347826087,0.0434782608696,0.0173913043478,0.0826086956522,0.00869565217391,0.0,0.830434782609,0.534782608696,0.330434782609,0.147826086957,0.630434782609,0.878260869565,0.530434782609,0.65652173913,0.295652173913,0.513043478261,0.139130434783,0.55652173913,0.0,0.186956521739,0.530434782609,0.00869565217391,0.15652173913,0.0,0.0652173913043,0.478260869565,0.139130434783,0.282608695652,172.673913043,8.27391304348,94.126984127
Pacific Heights,0.810276679842,0.95256916996,0.0,0.490118577075,0.375494071146,0.0632411067194,0.814229249012,0.332015810277,0.833992094862,0.0158102766798,0.0513833992095,0.118577075099,0.0355731225296,0.0355731225296,0.833992094862,0.490118577075,0.272727272727,0.225296442688,0.632411067194,0.873517786561,0.474308300395,0.616600790514,0.158102766798,0.411067193676,0.0790513833992,0.470355731225,0.0237154150198,0.0632411067194,0.494071146245,0.0,0.0790513833992,0.296442687747,0.0711462450593,0.201581027668,0.0474308300395,0.114624505929,361.604743083,5.29644268775,94.8139534884
Parkside,0.818181818182,0.969696969697,0.0,0.626262626263,0.252525252525,0.030303030303,0.777777777778,0.111111111111,0.525252525253,0.040404040404,0.0,0.111111111111,0.020202020202,0.0,0.888888888889,0.393939393939,0.555555555556,0.181818181818,0.767676767677,0.939393939394,0.626262626263,0.737373737374,0.20202020202,0.434343434343,0.10101010101,0.262626262626,0.0,0.131313131313,0.626262626263,0.0,0.0808080808081,0.020202020202,0.0606060606061,0.555555555556,0.020202020202,0.10101010101,130.323232323,15.2828282828,93.5352112676
Portola,0.794117647059,0.970588235294,0.0,0.705882352941,0.617647058824,0.0,0.941176470588,0.0588235294118,0.794117647059,0.0882352941176,0.0588235294118,0.205882352941,0.0294117647059,0.0,0.911764705882,0.647058823529,0.441176470588,0.205882352941,0.794117647059,0.911764705882,0.764705882353,0.794117647059,0.352941176471,0.617647058824,0.205882352941,0.735294117647,0.0,0.352941176471,0.647058823529,0.0,0.205882352941,0.0,0.117647058824,0.470588235294,0.0882352941176,0.264705882353,195.735294118,4.64705882353,95.0384615385
Potrero Hill,0.859574468085,0.970212765957,0.0,0.523404255319,0.493617021277,0.0340425531915,0.851063829787,0.234042553191,0.804255319149,0.0297872340426,0.0382978723404,0.0595744680851,0.0510638297872,0.00851063829787,0.872340425532,0.540425531915,0.395744680851,0.217021276596,0.727659574468,0.936170212766,0.514893617021,0.685106382979,0.251063829787,0.506382978723,0.148936170213,0.548936170213,0.00425531914894,0.110638297872,0.514893617021,0.00851063829787,0.182978723404,0.0553191489362,0.068085106383,0.421276595745,0.0936170212766,0.246808510638,263.14893617,5.37446808511,95.2252747253
Presidio,0.666666666667,1.0,0.0,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.0,0.666666666667,0.0,0.333333333333,0.333333333333,0.0,0.0,0.666666666667,0.666666666667,0.0,0.0,0.666666666667,1.0,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.333333333333,0.333333333333,769.666666667,10.6666666667,98.5
Presidio Heights,0.764705882353,0.941176470588,0.0,0.470588235294,0.5,0.0588235294118,0.823529411765,0.352941176471,0.735294117647,0.0588235294118,0.0,0.0588235294118,0.0882352941176,0.0,0.764705882353,0.470588235294,0.411764705882,0.382352941176,0.735294117647,0.882352941176,0.470588235294,0.647058823529,0.264705882353,0.411764705882,0.176470588235,0.529411764706,0.0,0.0294117647059,0.323529411765,0.0294117647059,0.147058823529,0.0882352941176,0.0588235294118,0.323529411765,0.0588235294118,0.205882352941,591.0,7.61764705882,95.8095238095
Richmond District,0.854625550661,0.986784140969,0.0,0.539647577093,0.449339207048,0.0264317180617,0.832599118943,0.180616740088,0.823788546256,0.0264317180617,0.0220264317181,0.0903083700441,0.0308370044053,0.00440528634361,0.905286343612,0.539647577093,0.310572687225,0.25550660793,0.662995594714,0.905286343612,0.519823788546,0.656387665198,0.185022026432,0.484581497797,0.0814977973568,0.623348017621,0.0,0.116740088106,0.508810572687,0.0,0.123348017621,0.0198237885463,0.0594713656388,0.266519823789,0.0594713656388,0.167400881057,230.453744493,6.62114537445,94.1515151515
Russian Hill,0.805555555556,0.962962962963,0.0,0.5,0.37037037037,0.00925925925926,0.814814814815,0.416666666667,0.861111111111,0.0555555555556,0.00925925925926,0.185185185185,0.0277777777778,0.0,0.972222222222,0.472222222222,0.287037037037,0.296296296296,0.694444444444,0.851851851852,0.527777777778,0.592592592593,0.111111111111,0.481481481481,0.101851851852,0.527777777778,0.0,0.0833333333333,0.425925925926,0.0,0.0462962962963,0.157407407407,0.0648148148148,0.0925925925926,0.0185185185185,0.0740740740741,350.842592593,5.59259259259,94.9571428571
Sea Cliff,1.0,1.0,0.0,0.666666666667,0.666666666667,0.0,1.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,1.0,0.333333333333,0.666666666667,0.0,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,398.333333333,0.333333333333,98.0
SoMa,0.835766423358,0.945255474453,0.0,0.512773722628,0.388686131387,0.144160583942,0.795620437956,0.419708029197,0.640510948905,0.0310218978102,0.361313868613,0.193430656934,0.17700729927,0.120437956204,0.928832116788,0.304744525547,0.293795620438,0.151459854015,0.689781021898,0.832116788321,0.43795620438,0.593065693431,0.182481751825,0.399635036496,0.0948905109489,0.459854014599,0.226277372263,0.131386861314,0.527372262774,0.00729927007299,0.0474452554745,0.532846715328,0.0583941605839,0.124087591241,0.0328467153285,0.0821167883212,263.29379562,7.34306569343,92.3984168865
Soma,0.333333333333,1.0,0.0,0.666666666667,0.666666666667,0.0,0.666666666667,0.666666666667,1.0,0.0,0.333333333333,0.666666666667,0.333333333333,0.333333333333,1.0,0.666666666667,0.333333333333,0.333333333333,0.666666666667,1.0,0.666666666667,0.333333333333,0.0,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.0,0.666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,722.666666667,11.3333333333,95.3333333333
South Beach,0.736842105263,0.90350877193,0.0,0.456140350877,0.342105263158,0.201754385965,0.719298245614,0.30701754386,0.763157894737,0.0438596491228,0.640350877193,0.368421052632,0.526315789474,0.491228070175,0.90350877193,0.473684210526,0.350877192982,0.0438596491228,0.561403508772,0.859649122807,0.377192982456,0.482456140351,0.175438596491,0.333333333333,0.0877192982456,0.368421052632,0.447368421053,0.0877192982456,0.473684210526,0.0,0.0526315789474,0.815789473684,0.0263157894737,0.157894736842,0.0175438596491,0.0789473684211,582.570175439,8.86842105263,95.2857142857
Sunnyside,0.847058823529,0.964705882353,0.0,0.517647058824,0.529411764706,0.0352941176471,0.870588235294,0.0823529411765,0.8,0.0235294117647,0.0,0.0470588235294,0.0823529411765,0.0,0.870588235294,0.552941176471,0.4,0.317647058824,0.811764705882,0.894117647059,0.576470588235,0.741176470588,0.270588235294,0.517647058824,0.0823529411765,0.670588235294,0.0,0.117647058824,0.494117647059,0.0117647058824,0.223529411765,0.0235294117647,0.105882352941,0.482352941176,0.141176470588,0.341176470588,266.094117647,7.92941176471,95.7014925373
Sunset District,0.571428571429,1.0,0.142857142857,0.428571428571,0.428571428571,0.0,0.571428571429,0.142857142857,0.142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.714285714286,0.285714285714,0.428571428571,0.571428571429,1.0,0.571428571429,0.428571428571,0.0,0.571428571429,0.142857142857,0.428571428571,0.0,0.285714285714,0.571428571429,0.0,0.0,0.0,0.142857142857,0.285714285714,0.142857142857,0.142857142857,283.285714286,17.1428571429,94.7142857143
Telegraph Hill,0.825757575758,0.969696969697,0.0,0.537878787879,0.401515151515,0.0,0.787878787879,0.19696969697,0.712121212121,0.00757575757576,0.0151515151515,0.0909090909091,0.0227272727273,0.0,0.931818181818,0.416666666667,0.454545454545,0.181818181818,0.681818181818,0.871212121212,0.462121212121,0.613636363636,0.234848484848,0.477272727273,0.0757575757576,0.598484848485,0.0,0.113636363636,0.44696969697,0.0,0.0378787878788,0.0606060606061,0.174242424242,0.0909090909091,0.0151515151515,0.0378787878788,259.492424242,9.98484848485,93.2038834951
Tenderloin,0.693181818182,0.943181818182,0.0,0.590909090909,0.102272727273,0.0909090909091,0.738636363636,0.261363636364,0.693181818182,0.0113636363636,0.0568181818182,0.0340909090909,0.0568181818182,0.0340909090909,0.772727272727,0.25,0.238636363636,0.0340909090909,0.784090909091,0.806818181818,0.488636363636,0.454545454545,0.102272727273,0.443181818182,0.0909090909091,0.409090909091,0.0340909090909,0.204545454545,0.420454545455,0.0,0.0227272727273,0.602272727273,0.125,0.0795454545455,0.0340909090909,0.0568181818182,157.5,8.73863636364,84.2898550725
